Year,School,Conf,Wins,Losses,Win Pct,Conf Wins,Conf Losses,Conf Win Pct,Off PPG,Def PPG,SRS,SOS,AP Pre,AP High,AP Rank,Football Total Operating Expenses
2018,Oklahoma State,Big 12,7,6,0.538,3,6,0.333,38.4,32.5,6.82,3.67,,15,,"$24,289,694"
2019,Oklahoma State,Big 12,8,5,0.615,5,4,0.556,32.5,26.8,7.39,3.46,,21,,"$24,398,875"
2020,Oklahoma State,Big 12,8,3,0.727,6,3,0.667,30.2,23.5,10.46,4.92,15,6,20,"$18,693,885"
2021,Oklahoma State,Big 12,12,2,0.857,8,1,0.889,31.1,18.1,14.57,4.42,,5,7,"$29,271,573"
2022,Oklahoma State,Big 12,7,6,0.538,4,5,0.444,30.6,28.9,5.16,4.47,12,7,,"$31,583,888"
2017,Old Dominion,CUSA,5,7,0.417,3,5,0.375,20.7,31.7,-13.95,-6.53,,,,"$10,694,948"
2018,Old Dominion,CUSA,4,8,0.333,2,6,0.25,30.8,35.9,-12.87,-6.79,,,,"$11,415,018"
2019,Old Dominion,CUSA,1,11,0.083,0,8,0,16.3,29.8,-17.12,-4.2,,,,"$12,279,870"
2020,Old Dominion,CUSA,0,0,,,,,,,,,,,,"$8,820,593"
2021,Old Dominion,CUSA,6,7,0.462,5,3,0.625,27.6,27.8,-5.01,-4.39,,,,"$12,518,823"
2022,Old Dominion,Sun Belt,3,9,0.25,2,6,0.25,19.5,26.6,-8.35,-1.85,,,,"$13,745,844"
2017,Ole Miss,SEC,6,6,0.5,3,5,0.375,32.8,34.6,2.78,1.44,,,,"$35,377,133"
2018,Ole Miss,SEC,5,7,0.417,1,7,0.125,33.9,36.2,2.81,4.39,,,,"$37,790,720"
2019,Ole Miss,SEC,4,8,0.333,2,6,0.25,26.6,26.5,2.24,3.82,,,,"$44,375,627"
2020,Ole Miss,SEC,5,5,0.5,4,5,0.444,39.2,38.3,8.07,7.57,,,,"$38,313,502"
2021,Ole Miss,SEC,10,3,0.769,6,2,0.75,33.7,24.7,11.43,4.05,,8,11,"$55,107,688"
2022,Ole Miss,SEC,8,5,0.615,4,4,0.5,33.5,25.5,8.36,4.05,21,7,,"$60,203,672"
2017,Oregon,Pac-12,7,6,0.538,4,5,0.444,36,29,4.66,1.89,,24,,"$27,875,265"
2018,Oregon,Pac-12,9,4,0.692,5,4,0.556,34.8,25.4,6.67,-0.49,24,12,,"$34,724,839"
2019,Oregon,Pac-12,12,2,0.857,8,1,0.889,35.4,16.5,17.02,3.6,11,5,5,"$32,734,039"
2020,Oregon,Pac-12,4,3,0.571,3,2,0.6,31.3,28.3,0.81,-1.77,9,9,,"$24,569,707"
2021,Oregon,Pac-12,10,4,0.714,7,2,0.778,31.4,27,6.22,1.93,11,3,22,"$40,726,930"
2022,Oregon,Pac-12,10,3,0.769,7,2,0.778,38.8,27.4,13.44,3.67,11,6,15,"$42,911,990"
2017,Oregon State,Pac-12,1,11,0.083,0,9,0,20.7,43,-13.57,3.27,,,,"$17,323,269"
2018,Oregon State,Pac-12,2,10,0.167,1,8,0.111,26.1,45.7,-10.86,3.56,,,,"$20,107,059"
2019,Oregon State,Pac-12,5,7,0.417,4,5,0.444,31.2,32.5,2.01,3.18,,,,"$21,931,124"
2020,Oregon State,Pac-12,2,5,0.286,2,5,0.286,28.9,33.3,-7.27,-2.98,,,,"$15,023,170"
2021,Oregon State,Pac-12,7,6,0.538,5,4,0.556,31.2,25.8,4.16,0.09,,,,"$22,272,842"
2022,Oregon State,Pac-12,10,3,0.769,6,3,0.667,32.2,20,12.64,2.33,,16,17,"$26,351,151"
2017,Penn State,Big Ten,11,2,0.846,7,2,0.778,41.1,16.5,21.62,6.31,6,2,8,"$45,219,641"
2018,Penn State,Big Ten,9,4,0.692,6,3,0.667,33.8,20.5,12.32,4.86,10,8,17,"$46,240,016"
2019,Penn State,Big Ten,11,2,0.846,7,2,0.778,35.8,16,17.34,4.88,15,5,9,"$48,768,610"
2020,Penn State,Big Ten,4,5,0.444,4,5,0.444,29.8,27.7,4.22,3.99,7,7,,"$36,069,157"
2021,Penn State,Big Ten,7,6,0.538,4,5,0.444,25,17.3,11.22,5.53,19,4,,"$57,627,338"
2022,Penn State,Big Ten,11,2,0.846,7,2,0.778,35.8,18.2,17.56,4.02,,7,7,"$62,719,789"
2017,Purdue,Big Ten,7,6,0.538,4,5,0.444,25.2,20.5,9.74,6.21,,,,"$27,230,929"
2018,Purdue,Big Ten,6,7,0.462,5,4,0.556,30.5,30,7.04,6.51,,,,"$27,342,141"
2019,Purdue,Big Ten,4,8,0.333,3,6,0.333,25.8,30.6,-0.52,4.15,,,,"$23,815,344"
2020,Purdue,Big Ten,2,4,0.333,2,4,0.333,27.2,29.8,-0.18,2.66,,,,"$18,822,482"
2021,Purdue,Big Ten,9,4,0.692,6,3,0.667,29.1,22.4,10.58,5.81,,25,,"$24,857,827"
2022,Purdue,Big Ten,8,6,0.571,6,3,0.667,26.6,27.4,3.62,4.12,,,,"$31,441,226"
2017,Rutgers,Big Ten,4,8,0.333,3,6,0.333,18,28.3,-2.27,6.15,,,,"$26,868,608"
2018,Rutgers,Big Ten,1,11,0.083,0,9,0,13.5,31.4,-9.65,4.1,,,,"$27,084,872"
2019,Rutgers,Big Ten,2,10,0.167,0,9,0,13.3,36.7,-11.16,4.93,,,,"$33,400,119"
2020,Rutgers,Big Ten,3,6,0.333,3,6,0.333,26.7,32.1,-2.38,3.18,,,,"$33,122,635"
2021,Rutgers,Big Ten,5,8,0.385,2,7,0.222,19.7,25.6,-1.32,4.06,,,,"$43,644,477"
2022,Rutgers,Big Ten,4,8,0.333,1,8,0.111,17.4,29.3,-5.09,3.74,,,,"$49,499,164"
2017,San Diego State,MWC,10,3,0.769,6,2,0.75,30.8,20.2,5.05,-3.87,,19,,"$15,529,111"
2018,San Diego State,MWC,7,6,0.538,4,4,0.5,20.6,22.2,-3.32,-1.94,,,,"$16,817,381"
