Year,School,Conf,Wins,Losses,Win Pct,Conf Wins,Conf Losses,Conf Win Pct,Off PPG,Def PPG,SRS,SOS,AP Pre,AP High,AP Rank,Football Total Operating Expenses
2021,UTSA,CUSA,12,2,0.857,7,1,0.875,36.9,24.6,5.65,-3.21,,15,,"$14,849,343"
2022,UTSA,CUSA,11,3,0.786,8,0,1,36.8,25.9,5.36,-3.78,,22,,"$16,731,566"
2017,Virginia,ACC,6,7,0.462,3,5,0.375,22.5,28.4,-0.06,3.55,,,,"$22,712,557"
2018,Virginia,ACC,8,5,0.615,4,4,0.5,28.5,20.1,7.11,-0.04,,23,,"$25,888,748"
2019,Virginia,ACC,9,5,0.643,6,2,0.75,32.1,27.1,6.29,1.5,,18,,"$27,425,860"
2020,Virginia,ACC,5,5,0.5,4,5,0.444,30.7,29.6,-0.39,-0.09,,,,"$23,870,870"
2021,Virginia,ACC,6,6,0.5,4,4,0.5,34.6,31.8,2.24,2.57,,,,"$31,075,143"
2022,Virginia,ACC,3,7,0.3,1,6,0.143,17,24,-5.85,1.45,,,,"$31,134,941"
2017,Virginia Tech,ACC,9,4,0.692,5,3,0.625,28.2,14.8,10.56,2.41,21,12,24,"$32,532,683"
2018,Virginia Tech,ACC,6,7,0.462,4,4,0.5,29.8,31,-0.37,1.55,20,12,,"$33,666,607"
2019,Virginia Tech,ACC,8,5,0.615,5,3,0.625,30.8,24.7,3.37,-1.63,,23,,"$34,265,430"
2020,Virginia Tech,ACC,5,6,0.455,5,5,0.5,31.1,32.1,1.51,1.78,,19,,"$26,699,874"
2021,Virginia Tech,ACC,6,7,0.462,4,4,0.5,23.7,25.3,-0.33,0.67,,15,,"$41,766,016"
2022,Virginia Tech,ACC,3,8,0.273,1,6,0.143,19.3,24.7,-6.78,-0.96,,,,"$32,445,289"
2017,Washington,Pac-12,10,3,0.769,7,2,0.778,36.2,16.1,16.22,1.61,8,5,16,"$38,744,975"
2018,Washington,Pac-12,10,4,0.714,7,2,0.778,26.4,16.4,11.42,3.7,6,6,13,"$40,474,139"
2019,Washington,Pac-12,8,5,0.615,4,5,0.444,32,19.4,12.38,2.68,13,13,,"$51,454,948"
2020,Washington,Pac-12,3,1,0.75,3,1,0.75,30.3,25,0.11,-5.89,,23,,"$24,267,707"
2021,Washington,Pac-12,4,8,0.333,3,6,0.333,21.5,22.7,-4.65,-0.9,20,20,,"$70,461,921"
2022,Washington,Pac-12,11,2,0.846,7,2,0.778,39.7,25.8,11.56,0.64,,8,8,"$58,758,083"
2017,Washington State,Pac-12,9,4,0.692,6,3,0.667,30.3,25.8,6.62,2.39,24,8,,"$20,023,375"
2018,Washington State,Pac-12,11,2,0.846,7,2,0.778,37.5,23.3,12.19,-0.04,,7,10,"$22,052,168"
2019,Washington State,Pac-12,6,7,0.462,3,6,0.333,37.8,31.4,3.86,2.01,23,19,,"$23,049,901"
2020,Washington State,Pac-12,1,3,0.25,1,3,0.25,27,38.5,-11.34,-0.09,,,,"$16,533,539"
2021,Washington State,Pac-12,7,6,0.538,6,3,0.667,27.8,24.2,3.05,-0.02,,,,"$22,822,345"
2022,Washington State,Pac-12,7,6,0.538,4,5,0.444,26.1,22.9,3.55,2.24,,,,"$25,335,772"
2017,West Virginia,Big 12,7,6,0.538,5,4,0.556,34.5,31.5,4.84,3.07,22,22,,"$21,038,496"
2018,West Virginia,Big 12,8,4,0.667,6,3,0.667,40.3,27.2,12.6,3.85,17,6,20,"$24,046,517"
2019,West Virginia,Big 12,5,7,0.417,3,6,0.333,20.6,28.8,-2.92,3.16,,,,"$22,221,319"
2020,West Virginia,Big 12,6,4,0.6,4,4,0.5,26.5,20.5,5.97,1.07,,,,"$17,233,863"
2021,West Virginia,Big 12,6,7,0.462,4,5,0.444,25.2,23.8,1.54,3.85,,,,"$24,342,556"
2022,West Virginia,Big 12,5,7,0.417,3,6,0.333,30.6,32.9,2.9,6.06,,,,"$24,219,155"
2017,Western Kentucky,CUSA,6,7,0.462,4,4,0.5,25.5,26.8,-10.99,-9.61,,,,"$9,526,494"
2018,Western Kentucky,CUSA,3,9,0.25,2,6,0.25,21.1,27.8,-14.11,-6.78,,,,"$8,607,897"
2019,Western Kentucky,CUSA,9,4,0.692,6,2,0.75,25.4,20.1,0.31,-5.08,,,,"$9,985,367"
2020,Western Kentucky,CUSA,5,7,0.417,4,3,0.571,19,25.3,-11.15,-6.07,,,,"$8,805,001"
2021,Western Kentucky,CUSA,9,5,0.643,7,1,0.875,44.2,29.4,8.39,-2.61,,,,"$10,133,109"
2022,Western Kentucky,CUSA,9,5,0.643,6,2,0.75,36.4,23.4,1.01,-5.49,,,,"$11,182,362"
2017,Western Michigan,MAC,6,6,0.5,4,4,0.5,33.9,29,-2.87,-4.37,,,,"$9,197,073"
2018,Western Michigan,MAC,7,6,0.538,5,3,0.625,32,34.5,-4.92,-3.31,,,,"$9,752,828"
2019,Western Michigan,MAC,7,6,0.538,5,3,0.625,33.1,25.9,-1.77,-5.85,,,,"$9,346,842"
2020,Western Michigan,MAC,4,2,0.667,4,2,0.667,41.7,34.2,10.39,5.72,,,,"$5,951,641"
2021,Western Michigan,MAC,8,5,0.615,4,4,0.5,32.5,28.2,1.08,-2.62,,,,"$9,257,649"
2022,Western Michigan,MAC,5,7,0.417,4,4,0.5,19,24.1,-11.72,-5.88,,,,"$9,804,685"
2017,Wisconsin,Big Ten,13,1,0.929,9,0,1,33.8,13.9,22.61,6.18,9,3,7,"$38,285,426"
2018,Wisconsin,Big Ten,8,5,0.615,5,4,0.556,29.7,22.6,7.68,2.6,4,4,,"$40,412,322"
2019,Wisconsin,Big Ten,10,4,0.714,7,2,0.778,34.1,16.9,17.73,7.73,19,6,11,"$36,707,380"
2020,Wisconsin,Big Ten,4,3,0.571,3,3,0.5,25.1,17.4,8.62,4.33,12,9,,"$27,914,023"
2021,Wisconsin,Big Ten,9,4,0.692,6,3,0.667,25.4,16.2,13.87,6.8,12,12,,"$39,255,866"
2022,Wisconsin,Big Ten,7,6,0.538,4,5,0.444,26.3,20.2,4.37,2.29,18,18,,"$64,357,070"
2017,Wyoming,MWC,8,5,0.615,5,3,0.625,23.5,17.5,0.04,-4.65,,,,"$11,793,724"
2018,Wyoming,MWC,6,6,0.5,4,4,0.5,20.7,22,-3.45,-2.12,,,,"$13,815,185"
2019,Wyoming,MWC,8,5,0.615,4,4,0.5,25.4,17.8,1.33,-4.28,,,,"$12,391,720"
2020,Wyoming,MWC,2,4,0.333,2,4,0.333,26.5,21,-5.27,-7.94,,,,"$9,567,028"
2021,Wyoming,MWC,7,6,0.538,2,6,0.25,25.4,23.7,-3.14,-4.52,,,,"$12,456,861"
2022,Wyoming,MWC,7,6,0.538,5,3,0.625,21.2,23.9,-5.59,-4.43,,,,"$14,235,242"
